WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,JOBSAL
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,월 급여
1,101,6,2,3,1,60,2,1,50
2,101,6,2,3,1,61,2,1,50
3,101,6,2,3,1,63,2,1,50
4,101,6,2,3,1,65,2,1,80
5,101,6,2,3,1,67,2,1,100
7,202,7,2,3,3,48,5,1,120
1,302,5,4,3,2,45,7,1,400
2,302,5,4,3,2,46,7,1,458
3,302,5,4,3,2,48,7,1,420
4,302,5,4,3,2,50,7,1,400
5,302,5,4,3,2,52,7,1,350
6,302,5,4,3,2,54,7,1,450
5,402,6,3,2,2,44,6,1,150
6,402,6,3,2,2,46,6,1,130
7,402,6,3,2,2,48,6,1,200
5,502,4,4,2,2,58,7,1,200
6,502,4,4,2,2,60,7,1,200
7,502,4,4,2,2,62,7,1,80
1,602,12,0,4,6,38,7,1,400
2,602,12,0,4,6,39,7,1,80
4,602,12,0,4,6,43,7,1,130
1,702,7,2,5,2,35,4,1,250
2,702,7,2,5,2,36,4,1,250
3,702,7,2,5,2,38,4,1,100
4,702,7,2,5,2,40,4,1,170
5,702,7,2,5,2,42,4,1,200
1,802,3,4,3,3,33,7,1,167
3,802,3,4,3,3,36,7,1,200
2,901,2,6,2,1,35,7,1,120
6,901,2,6,2,1,43,7,1,70
7,901,2,6,2,1,45,7,1,80
1,1002,5,4,3,2,33,7,1,200
2,1002,5,4,3,2,34,7,1,100
3,1002,5,4,3,2,36,7,1,200
4,1002,5,4,3,2,38,7,1,200
1,1202,5,3,3,2,32,4,1,200
2,1202,5,3,3,2,33,4,1,200
3,1202,5,3,3,2,35,4,1,300
4,1202,5,3,3,2,37,4,1,300
5,1202,5,3,3,2,39,4,1,300
6,1202,5,3,3,2,41,4,1,300
7,1202,5,3,3,2,43,4,1,300
1,1302,4,4,3,2,27,4,1,150
2,1302,4,4,3,2,28,4,1,150
7,1402,7,2,2,1,72,3,1,25
1,1502,6,3,3,2,31,4,1,100
2,1502,6,3,3,2,32,4,1,100
3,1502,6,3,3,2,34,4,1,80
4,1502,6,3,3,2,36,4,1,90
5,1502,6,3,3,2,38,4,1,100
6,1502,6,3,3,2,40,4,1,100
7,1502,6,3,3,2,42,4,1,150
1,1602,1,6,2,1,39,7,1,380
2,1602,1,6,2,1,40,7,1,400
3,1602,1,6,2,1,42,7,1,350
4,1602,1,6,2,1,44,7,1,400
5,1602,1,6,2,1,46,7,1,400
6,1602,1,6,2,1,48,7,1,400
7,1602,1,6,2,1,50,7,1,400
1,1702,5,4,3,2,32,6,1,180
3,1702,5,4,3,2,35,6,1,200
1,1802,12,4,4,6,39,5,1,500
3,1802,12,4,4,6,42,5,1,800
4,1802,12,4,4,6,44,5,1,900
5,1802,12,4,4,6,46,5,1,900
6,1802,12,4,4,6,48,5,1,1000
7,1802,12,4,4,6,50,5,1,1000
1,1901,6,2,3,2,53,5,1,50
5,1901,6,2,3,2,60,5,1,100
6,1901,6,2,3,2,62,5,1,150
7,1901,6,2,3,2,64,5,1,200
7,1902,5,4,4,2,39,7,1,100
6,1904,7,4,4,3,33,7,1,300
7,1904,7,4,4,3,35,7,1,450
7,2202,6,4,5,3,42,4,1,150
1,2302,6,2,3,3,42,4,1,100
2,2302,6,2,3,3,43,4,1,150
3,2302,6,2,3,3,45,4,1,200
4,2302,6,2,3,3,47,4,1,150
7,2402,6,2,3,2,44,7,1,250
1,2502,6,4,3,2,38,5,1,160
1,2602,11,3,4,6,25,4,1,140
3,2702,9,3,4,4,51,5,1,100
4,2702,9,3,4,4,53,5,1,200
5,2702,9,3,4,4,55,5,1,150
6,2702,9,3,4,4,57,5,1,60
7,2702,9,3,4,4,59,5,1,120
1,2803,8,4,4,3,33,6,2,120
6,2902,6,2,5,3,46,6,1,150
7,2902,6,2,5,3,48,6,1,150
3,3001,11,4,4,4,38,6,1,150
4,3001,11,4,4,4,40,6,1,100
5,3001,11,4,4,4,42,6,1,100
7,3001,11,4,4,4,46,6,1,130
4,3005,2,6,3,4,19,5,2,32
5,3005,2,6,3,4,21,5,2,150
7,3005,2,6,3,4,25,5,2,150
5,3006,8,4,3,3,19,4,2,100
2,3203,1,4,2,2,25,4,2,130
3,3203,1,4,2,2,27,4,2,170
4,3203,1,4,2,2,29,4,2,180
6,3203,1,4,2,2,33,4,2,200
7,3203,1,4,2,2,35,4,2,225
3,3204,7,4,3,3,26,5,2,160
4,3204,7,4,3,3,28,5,2,150
5,3204,7,4,3,3,30,5,2,160
6,3204,7,4,3,3,32,5,2,200
4,3205,7,3,3,3,19,4,2,220
5,3205,7,3,3,3,21,4,2,200
1,3301,2,3,4,2,51,5,1,333
2,3301,2,3,4,2,52,5,1,200
3,3301,2,3,4,2,54,5,1,300
4,3301,2,3,4,2,56,5,1,300
5,3301,2,3,4,2,58,5,1,300
1,3402,2,4,3,1,36,7,1,120
2,3402,2,4,3,1,37,7,1,150
3,3402,2,4,3,1,39,7,1,40
4,3402,2,4,3,1,41,7,1,20
1,3502,5,3,4,2,38,4,1,120
2,3502,5,3,4,2,39,4,1,100
3,3502,5,3,4,2,41,4,1,140
4,3502,5,3,4,2,43,4,1,200
5,3502,5,3,4,2,45,4,1,200
6,3502,5,3,4,2,47,4,1,300
1,3602,5,2,3,2,55,3,1,20
1,3702,5,2,3,4,39,5,1,200
3,3702,5,2,3,4,42,5,1,40
4,3702,5,2,3,4,44,5,1,61
5,3702,5,2,3,4,46,5,1,30
6,3702,5,2,3,4,48,5,1,70
7,3702,5,2,3,4,50,6,1,95
3,3705,7,3,4,3,25,7,2,130
5,3802,6,2,4,2,69,2,1,20
1,3903,5,4,3,2,23,7,2,140
2,3903,5,4,3,2,24,7,2,150
3,3903,5,4,3,2,26,7,2,150
1,3904,5,4,4,2,21,6,2,150
3,3904,5,4,4,2,24,6,2,180
