,,성장환경,,,,개인 spec.,,,,,,일자리 특징,,,,종속변수,,,,,,,,
WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,P02ED07,P02MC01,P02ED16,WCSEL01,PP99RA,WCKD,WCEMP,JOBSAL,P03SJ01,P03RT04,P03JH03,P06SJ01,P06RT04,W10EJ01B,W09SJ01,W09TW09D
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,고등학교 종류,대학전공,대학소재지,일자리구분(정규/비정규),직위,직장종류,사업체 직원 수,월 급여,첫 직장입직,첫 직장 퇴직,첫직장 유지,새로운 일자리 입직,하던일 퇴직,최근 일자리 그만둔 시점,이전일자리 입직,이전일자리 퇴직
1,101,6,2,3,1,60,2,1,,,,,2,,,50,1970,,1,,,,,
2,101,6,2,3,1,61,2,1,,,,,2,,,50,,,,,,,,
3,101,6,2,3,1,63,2,1,,,,,2,,,50,,,,,,,,
4,101,6,2,3,1,65,2,1,,,,,2,,,80,,,,,,,,
5,101,6,2,3,1,67,2,1,,,,,2,,,100,,,,,,,,
6,101,6,2,3,1,69,2,1,,,,,,,,,,,,,,,,
7,101,6,2,3,1,71,2,1,,,,,,,,,,,,,,,,
1,202,7,2,3,3,37,5,1,1,,,,,,,,1989,2001,2,,2006,2006,2003,2006
6,202,7,2,3,3,46,5,1,,,,,,,,,,,,,,,,
7,202,7,2,3,3,48,5,1,,,,2,1,3,3,120,,,,,,,,
1,302,5,4,3,2,45,7,1,2,14,1,1,1,6,4,400,1982,,1,,,,,
2,302,5,4,3,2,46,7,1,,,,1,1,6,4,458,,,,,,,,
3,302,5,4,3,2,48,7,1,,,,1,1,6,4,420,,,,,,,,
4,302,5,4,3,2,50,7,1,,,,1,1,6,4,400,,,,,,,,
5,302,5,4,3,2,52,7,1,,,,1,1,6,4,350,,,,,,,,
6,302,5,4,3,2,54,7,1,,,,1,1,6,4,450,,,,,,,,
7,302,5,4,3,2,56,7,1,,,,,,,,,,,,,,,,
4,303,2,6,3,2,25,8,2,2,9,1,,,,,,,,,,,,,
1,402,6,3,2,2,37,6,1,1,3,11,,,,,,1992,1995,2,,,2000,1995,2000
2,402,6,3,2,2,38,6,1,,,,,,,,,,,,,,,,
3,402,6,3,2,2,40,6,1,,,,,,,,,,,,,,,,
5,402,6,3,2,2,44,6,1,,,,2,1,5,7,150,,,,,,,,
6,402,6,3,2,2,46,6,1,,,,2,1,5,6,130,,,,,,,,
7,402,6,3,2,2,48,6,1,,,,2,1,3,5,200,,,,,,,,
1,502,4,4,2,2,51,7,1,1,3,1,,,,,,1978,1981,2,,,1981,1978,1981
2,502,4,4,2,2,52,7,1,,,,,,,,,,,,,,,,
3,502,4,4,2,2,54,7,1,,,,,,,,,,,,,,,,
4,502,4,4,2,2,56,7,1,,,,,,,,,,,,,,,,
5,502,4,4,2,2,58,7,1,,,,2,1,9,4,200,,,,,,,,
6,502,4,4,2,2,60,7,1,,,,2,1,9,4,200,,,,,,,,
7,502,4,4,2,2,62,7,1,,,,2,1,3,1,80,,,,,,,,
1,602,12,0,4,6,38,7,1,3,14,1,,2,,,400,1988,1988,2,1988,,,1988,2005
2,602,12,0,4,6,39,7,1,,,,,2,,,80,,,,,,,,
4,602,12,0,4,6,43,7,1,,,,1,1,1,3,130,,,,,,,,
1,702,7,2,5,2,35,4,1,3,,,1,1,1,6,250,1990,1991,2,,,,1992,1993
2,702,7,2,5,2,36,4,1,,,,1,1,4,6,250,,,,,,,,
3,702,7,2,5,2,38,4,1,,,,1,1,1,7,100,,,,,,,,
4,702,7,2,5,2,40,4,1,,,,1,1,1,6,170,,,,,,,,
5,702,7,2,5,2,42,4,1,,,,1,1,1,6,200,,,,,,,,
1,802,3,4,3,3,33,7,1,1,1,1,1,1,1,4,167,1995,1997,2,,,,1998,1999
2,802,3,4,3,3,34,7,1,,,,,,,,,,,,,,,,
3,802,3,4,3,3,36,7,1,,,,1,1,1,3,200,,,,,,,,
1,901,2,6,2,1,34,7,1,2,5,1,,,,,,1999,2000,2,,2003,2007,2006,2007
2,901,2,6,2,1,35,7,1,,,,1,1,1,1,120,,,,,,,,
3,901,2,6,2,1,37,7,1,,,,,,,,,,,,,,,,
4,901,2,6,2,1,39,7,1,,,,,,,,,,,,,,,,
5,901,2,6,2,1,41,7,1,,,,,,,,,,,,,,,,
6,901,2,6,2,1,43,7,1,,,,2,1,1,1,70,,,,,,,,
7,901,2,6,2,1,45,7,1,,,,2,1,1,1,80,,,,,,,,
1,1002,5,4,3,2,33,7,1,1,12,1,,2,,,200,1997,1999,2,,,,1997,1999
2,1002,5,4,3,2,34,7,1,,,,,2,,,100,,,,,,,,
3,1002,5,4,3,2,36,7,1,,,,,2,,,200,,,,,,,,
4,1002,5,4,3,2,38,7,1,,,,,2,,,200,,,,,,,,
5,1002,5,4,3,2,40,7,1,,,,,,,,,,,,,,,,
6,1002,5,4,3,2,42,7,1,,,,,,,,,,,,,,,,
1,1102,9,3,5,1,42,5,1,1,,,,,,,,1984,1985,2,,,1999,1994,1999
2,1102,9,3,5,1,43,5,1,,,,,,,,,,,,,,,,
1,1202,5,3,3,2,32,4,1,3,,,,2,,,200,1994,1997,2,,,,1994,1997
2,1202,5,3,3,2,33,4,1,,,,,2,,,200,,,,,,,,
3,1202,5,3,3,2,35,4,1,,,,,2,,,300,,,,,,,,
4,1202,5,3,3,2,37,4,1,,,,,2,,,300,,,,,,,,
5,1202,5,3,3,2,39,4,1,,,,,2,,,300,,,,,,,,
6,1202,5,3,3,2,41,4,1,,,,,2,,,300,,,,,,,,
7,1202,5,3,3,2,43,4,1,,,,,2,,,300,,,,,,,,
1,1302,4,4,3,2,27,4,1,3,,,1,1,1,1,150,1999,2001,2,,,,1999,2001
2,1302,4,4,3,2,28,4,1,,,,1,1,1,1,150,,,,,,,,
3,1302,4,4,3,2,30,4,1,,,,,,,,,,,,,,,,
4,1302,4,4,3,2,32,4,1,,,,,,,,,,,,,,,,
5,1302,4,4,3,2,34,4,1,,,,,,,,,,,,,,,,
6,1302,4,4,3,2,36,4,1,,,,,3,,,0,,,,,,,,
7,1302,4,4,3,2,38,4,1,,,,,3,,,0,,,,,,,,
1,1402,7,2,2,1,61,3,1,,,,,,,,,,,,,,,,
2,1402,7,2,2,1,62,3,1,,,,,,,,,,,,,,,,
3,1402,7,2,2,1,64,3,1,,,,,,,,,,,,,,,,
4,1402,7,2,2,1,66,3,1,,,,,,,,,,,,,,,,
5,1402,7,2,2,1,68,3,1,,,,,,,,,,,,,,,,
6,1402,7,2,2,1,70,3,1,,,,,,,,,,,,,,,,
7,1402,7,2,2,1,72,3,1,,,,2,1,5,3,25,,,,,,,,
1,1502,6,3,3,2,31,4,1,3,,,1,1,1,2,100,1995,1996,2,,,,,
2,1502,6,3,3,2,32,4,1,,,,1,1,1,1,100,,,,,,,,
3,1502,6,3,3,2,34,4,1,,,,2,1,1,1,80,,,,,,,,
4,1502,6,3,3,2,36,4,1,,,,2,1,1,1,90,,,,,,,,
5,1502,6,3,3,2,38,4,1,,,,2,1,1,1,100,,,,,,,,
