age,JOBSAL,working_y,marry_no,univ_in_seoul,fulltime_job,univ_grad
32.0,180.0,10,0,0,1,1
19.0,32.0,1,1,0,0,0
19.0,220.0,1,1,0,1,0
31.0,200.0,1,1,1,1,1
25.0,200.0,2,1,0,1,1
27.0,150.0,5,1,0,0,0
25.0,150.0,2,1,1,0,1
22.0,200.0,5,1,0,1,1
25.0,172.0,2,1,1,1,1
34.0,240.0,9,0,1,1,1
28.0,100.0,2,1,1,1,1
27.0,100.0,5,1,0,1,0
24.0,120.0,2,1,1,0,1
48.0,100.0,6,0,0,0,0
30.0,180.0,5,1,1,1,1
28.0,200.0,5,1,1,1,1
27.0,150.0,8,0,0,1,1
34.0,250.0,11,0,1,1,1
25.0,250.0,2,1,1,1,1
27.0,170.0,7,1,1,1,1
36.0,250.0,14,0,1,1,1
24.0,170.0,2,1,0,0,0
26.0,200.0,2,1,1,1,1
20.0,65.0,2,1,0,1,0
58.0,200.0,9,0,1,1,1
26.0,200.0,1,1,1,1,1
20.0,30.0,1,1,1,0,1
19.0,20.0,1,1,0,0,1
30.0,70.0,7,1,0,0,0
25.0,150.0,1,1,1,1,1
27.0,150.0,4,0,1,1,1
20.0,170.0,7,0,1,1,1
30.0,150.0,10,0,0,0,0
25.0,150.0,5,1,0,1,0
40.0,200.0,9,1,1,1,1
26.0,160.0,3,1,1,1,1
26.0,140.0,3,1,1,1,1
22.0,120.0,1,1,1,0,1
24.0,230.0,1,1,0,1,1
27.0,200.0,4,1,1,1,1
26.0,167.0,3,1,0,1,1
29.0,200.0,6,0,1,1,1
28.0,200.0,5,1,0,1,1
30.0,300.0,8,0,1,1,1
44.0,100.0,6,0,0,0,0
25.0,120.0,4,1,1,1,1
21.0,120.0,4,1,1,0,1
26.0,135.0,5,0,0,1,1
30.0,110.0,7,0,0,1,1
30.0,200.0,7,0,0,0,1
43.0,80.0,4,0,0,0,0
30.0,130.0,4,1,1,1,1
26.0,300.0,2,1,1,1,1
30.0,250.0,5,0,1,1,1
25.0,110.0,3,1,1,1,1
25.0,170.0,3,1,0,1,1
26.0,180.0,6,1,0,1,1
57.0,85.0,7,0,0,0,0
26.0,150.0,4,0,0,1,1
51.0,50.0,5,0,0,0,0
30.0,150.0,3,1,1,1,1
29.0,180.0,2,1,0,1,1
29.0,120.0,11,0,0,1,0
52.0,150.0,5,0,0,0,0
22.0,70.0,1,1,0,0,1
35.0,200.0,10,0,0,1,1
24.0,120.0,3,1,0,1,1
27.0,250.0,4,0,1,1,1
27.0,170.0,2,0,0,1,1
37.0,250.0,7,1,1,1,1
29.0,200.0,4,0,1,1,1
30.0,250.0,7,0,1,1,1
33.0,200.0,14,0,0,1,0
29.0,300.0,5,1,1,1,1
23.0,20.0,1,1,1,0,1
60.0,100.0,6,0,0,0,0
20.0,80.0,3,1,0,1,0
46.0,100.0,4,0,0,0,0
26.0,50.0,2,1,0,1,1
24.0,200.0,1,1,1,1,1
57.0,250.0,4,0,0,1,0
31.0,300.0,11,0,1,1,1
34.0,8.333333333,14,0,1,0,1
19.0,200.0,1,1,0,1,0
30.0,200.0,7,0,0,1,1
23.0,200.0,2,1,1,1,1
27.0,120.0,5,0,1,0,1
27.0,217.0,2,1,1,1,1
29.0,140.0,6,1,0,1,1
24.0,110.0,3,1,0,1,1
29.0,250.0,1,1,0,1,1
22.0,70.0,3,1,0,1,0
28.0,150.0,1,1,0,1,1
26.0,186.0,7,1,0,1,1
29.0,200.0,2,1,0,1,1
26.0,180.0,3,1,0,1,1
49.0,50.0,4,0,0,0,0
23.0,200.0,2,1,0,1,1
19.0,40.0,1,1,0,0,1
60.0,15.0,13,0,0,0,0
55.0,200.0,9,0,0,0,0
28.0,130.0,6,0,0,1,1
24.0,230.0,2,1,0,1,1
29.0,150.0,6,1,0,1,1
28.0,180.0,5,1,0,1,1
28.0,250.0,5,1,0,1,1
31.0,150.0,2,1,0,0,1
34.0,150.0,13,0,0,1,1
33.0,130.0,14,0,0,1,1
21.0,70.0,2,1,0,0,1
30.0,120.0,7,1,0,0,1
31.0,150.0,7,0,0,1,1
26.0,150.0,2,1,0,1,1
23.0,200.0,1,1,0,1,1
21.0,180.0,2,1,0,1,0
32.0,275.0,9,0,0,1,1
24.0,180.0,1,1,0,1,1
31.0,200.0,10,0,0,1,1
27.0,130.0,7,1,0,1,1
23.0,100.0,2,1,0,0,1
45.0,300.0,9,0,0,0,0
37.0,300.0,13,0,0,1,1
24.0,80.0,1,1,0,0,1
25.0,120.0,1,1,0,0,1
34.0,200.0,9,1,0,1,1
27.0,200.0,5,1,0,1,1
32.0,300.0,8,0,0,0,1
25.0,100.0,2,1,0,0,1
51.0,100.0,2,0,0,0,0
53.0,40.0,2,0,0,0,0
22.0,120.0,1,1,0,1,1
48.0,100.0,8,0,0,0,0
21.0,97.0,1,1,0,1,1
23.0,110.0,3,1,0,1,1
27.0,200.0,4,1,0,1,1
25.0,250.0,2,1,0,1,1
27.0,180.0,3,1,0,1,1
25.0,100.0,3,1,0,1,1
